id,age,sex,marits,canton,region,nationality,mother_tongue,educ,insured_earn,lastj_occpt,lastj_fct,lastj_rate,child_subsidies,unempl_r,gdp_gr,treat,date_start,date_end,contr_2y
26,29.5,Male,Unmarried,BE,Mittelland,Swiss,Other,Apprenticeship or matura,3766.6111,informatics,Managerial role,96.126709,0,3.5,.48105001,0,27apr2015,01aug2015,16
26,25.583334,Male,Unmarried,BE,Mittelland,Swiss,Other,Apprenticeship or matura,5542,informatics,Specialist role,100,0,2,1.24907,0,17may2011,31jul2011,16
36,22,Male,Unmarried,OW,Central Switzerland,Swiss,German,,6000,others (skilled),Specialist role,100,0,.80000001,.30241999,,01may2011,31aug2011,12
36,26.416666,Male,Unmarried,OW,Central Switzerland,Swiss,German,,6687.4741,gastronomy,Specialist role,100,0,.80000001,1.42932,,28oct2015,28feb2016,11
44,50.5,Male,Married,NW,Central Switzerland,Swiss,German,Apprenticeship or matura,10500,management & hr,Managerial role,100,0,.89999998,1.70771,0,01may2011,31oct2011,12
44,54.5,Male,Married,NW,Central Switzerland,Swiss,German,Apprenticeship or matura,10500,management & hr,Managerial role,99.302269,0,1,-.55268002,5,10may2015,30dec2015,11
52,30.666666,Male,Unmarried,GE,Lake Geneva,Swiss,French,Apprenticeship or matura,4716,electro & watches,Specialist role,100,0,5.5999999,-.25812,0,29mar2011,25jul2011,0
52,34.75,Male,Unmarried,GE,Lake Geneva,Swiss,French,Apprenticeship or matura,3779.915,electro & watches,Specialist role,100,0,5.0999999,-1.26754,0,25apr2015,21sep2015,0
63,33.416668,Male,Married,ZG,Central Switzerland,Swiss,German,Specialized,6762.5112,gastronomy,Specialist role,92.267258,0,2.0999999,1.32221,0,12dec2015,06apr2016,14
63,29.083334,Male,Married,ZG,Central Switzerland,Swiss,German,Specialized,5748,gastronomy,Specialist role,100,0,1.9,-.89851999,0,01aug2011,26oct2011,14
72,23.25,Male,Unmarried,ZG,Central Switzerland,Swiss,German,Apprenticeship or matura,2756,"production (blue collar, incl cars)",Specialist role,100,0,1.9,-.89851999,0,08nov2011,29feb2012,3
72,27.083334,Male,Unmarried,ZG,Central Switzerland,Swiss,German,Apprenticeship or matura,2889.6414,"production (blue collar, incl cars)",Specialist role,100,0,2.0999999,1.32221,0,21sep2015,22jan2016,2
75,26.833334,Male,Unmarried,BE,Mittelland,Swiss,Other,Apprenticeship or matura,3631,construction,Specialist role,82.269997,0,2,1.24907,0,23nov2011,31may2012,16
75,30.416666,Male,Unmarried,BE,Mittelland,Swiss,Other,Apprenticeship or matura,2581.7766,gastronomy,Specialist role,66.589767,0,3.5,.48105001,0,15jun2015,25jan2016,15
81,29.25,Male,Unmarried,JU,Mittelland,Swiss,French,Apprenticeship or matura,4104,food & agriculture,Specialist role,100,0,3.4000001,3.69205,0,29apr2011,30jun2011,11
81,33.5,Male,Unmarried,JU,Mittelland,Swiss,French,Apprenticeship or matura,3095.6187,food & agriculture,Specialist role,63.845985,0,3.8,-2.1424899,0,15jul2015,20nov2015,11
103,23.75,Male,Unmarried,BS,North-Western Switzerland,Swiss,Italian,Apprenticeship or matura,3016.5095,chemistry,Specialist role,74.033195,0,2.5,1.86443,0,05aug2015,27oct2015,0
112,30.25,Male,Unmarried,VD,Lake Geneva,Swiss,French,Apprenticeship or matura,3771.7866,"production (blue collar, incl cars)",Specialist role,100,0,3.9000001,1.27924,0,02mar2015,19nov2015,15
112,26.333334,Male,Married,VD,Lake Geneva,Swiss,French,Apprenticeship or matura,4853,"production (blue collar, incl cars)",Specialist role,100,0,4.4000001,1.8381799,0,18apr2011,01dec2011,16
117,58.083332,Male,Unmarried,JU,Mittelland,Swiss,French,School,6973.2349,"production (blue collar, incl cars)",,95.12957,0,3.8,-2.1424899,2,25nov2015,23jul2016,15
117,53.583332,Male,Unmarried,JU,Mittelland,Swiss,French,School,5903,"production (blue collar, incl cars)",,100,0,3.4000001,3.69205,0,23may2011,09mar2012,16
135,37.75,Male,Married,AG,North-Western Switzerland,Swiss,German,Apprenticeship or matura,6579,"production (blue collar, incl cars)",Specialist role,100,1,2.5999999,.75863999,0,26jul2011,31jul2012,0
135,41.916668,Male,Married,AG,North-Western Switzerland,Swiss,German,Apprenticeship or matura,7979.3428,"production (blue collar, incl cars)",Specialist role,100,1,1.8,1.26635,0,15sep2015,16oct2016,0
138,28.166666,Male,Unmarried,UR,Central Switzerland,Swiss,French,University,3320,education,,100,0,1.2,3.71275,0,27apr2011,24dec2011,11
138,32.083332,Male,Unmarried,UR,Central Switzerland,Swiss,French,University,1478.3865,education,,100,0,1,2.3784001,0,03mar2015,18nov2015,10
144,21.666666,Male,Married,ZG,Central Switzerland,Swiss,German,Apprenticeship or matura,4918,office & admin,Specialist role,100,0,1.9,-.89851999,0,24aug2011,30sep2011,12
144,25.5,Male,Married,ZG,Central Switzerland,Swiss,German,Apprenticeship or matura,6241.8115,office & admin,Specialist role,90.637024,0,2.0999999,1.32221,0,03jun2015,22jul2015,12
145,31,Male,Unmarried,UR,Central Switzerland,Swiss,French,Apprenticeship or matura,3751.0835,sales,Specialist role,92.157379,0,1,2.3784001,0,15oct2015,20mar2017,17
145,27.083334,Male,Unmarried,UR,Central Switzerland,Swiss,French,Apprenticeship or matura,5315,sales,Specialist role,100,0,1.2,3.71275,0,09nov2011,11mar2013,19
152,24.916666,Male,Unmarried,GE,Lake Geneva,Swiss,French,University,3320,"banking, trust & insurance",Studying or other,100,0,5.5999999,-.25812,0,22jul2011,18jul2012,3
152,29.25,Male,Unmarried,GE,Lake Geneva,Swiss,French,University,3150.8254,"banking, trust & insurance",Studying or other,77.033127,0,5.0999999,-1.26754,0,24nov2015,05dec2016,2
155,29.75,Male,Unmarried,FR,Mittelland,Swiss,French,Apprenticeship or matura,4829.9438,office & admin,Specialist role,100,0,2.7,.39523,0,22apr2015,09aug2015,9
155,26.166666,Male,Unmarried,FR,Mittelland,Swiss,French,Apprenticeship or matura,5099,office & admin,Specialist role,100,0,2.0999999,.53127998,0,06sep2011,01dec2011,9
164,21.5,Male,Unmarried,SZ,Central Switzerland,Swiss,German,Apprenticeship or matura,2571,sales,Specialist role,92.400002,0,2.4000001,-1.18426,0,04jan2011,31jan2011,14
164,26.25,Male,Married,SZ,Central Switzerland,Swiss,German,Apprenticeship or matura,2260.1047,sales,Specialist role,87.246063,1,2.2,1.87919,0,04oct2015,12nov2015,14
199,52.416668,Male,Married,NE,Mittelland,Swiss,French,Apprenticeship or matura,5560.1724,gastronomy,Specialist role,100,0,5,3.2692299,1,23dec2015,05may2016,15
199,48.333332,Male,Married,NE,Mittelland,Swiss,French,Apprenticeship or matura,5309,gastronomy,Specialist role,100,0,4.6999998,8.0723896,0,01nov2011,31mar2012,16
223,24.083334,Male,Unmarried,BS,North-Western Switzerland,Swiss,German,Apprenticeship or matura,4130,office & admin,Specialist role,100,0,3.7,4.2624898,0,07nov2011,02jan2012,19
223,28.166666,Male,Unmarried,BS,North-Western Switzerland,Swiss,German,Apprenticeship or matura,2258.97,office & admin,Managerial role,83.13781,0,2.5,1.86443,0,06dec2015,14feb2016,19
225,52.833332,Male,Married,FR,Mittelland,Swiss,Other,School,5252.0044,"production (blue collar, incl cars)",Specialist role,100,0,2.7,.39523,1,31mar2015,06jul2015,19
225,49.583332,Male,Married,FR,Mittelland,Swiss,Other,School,5803,"production (blue collar, incl cars)",Specialist role,100,0,2.0999999,.53127998,0,23dec2011,14mar2012,19
232,45.75,Male,Married,AG,North-Western Switzerland,Swiss,Other,Apprenticeship or matura,4980,food & agriculture,Specialist role,100,1,2.5999999,.75863999,0,01nov2011,29jun2012,0
232,49.416668,Male,Married,AG,North-Western Switzerland,Swiss,Other,Apprenticeship or matura,5792.0552,food & agriculture,Specialist role,100,0,1.8,1.26635,2,02jul2015,30mar2016,0
248,57.833332,Male,Unmarried,BL,North-Western Switzerland,Swiss,German,University,10290.978,management & hr,Specialist role,87.619705,0,2.3,1.1521699,4,08apr2015,09nov2015,15
248,53.833332,Male,Married,BL,North-Western Switzerland,Swiss,German,University,10500,management & hr,Managerial role,100,0,2.7,1.57066,0,01apr2011,30jun2011,16
253,25.333334,Male,Unmarried,ZG,Central Switzerland,Swiss,German,Apprenticeship or matura,4333,sales,Specialist role,100,0,1.9,-.89851999,0,11feb2011,26apr2011,0
253,30.083334,Male,Unmarried,ZG,Central Switzerland,Swiss,German,Apprenticeship or matura,5790.23,sales,Specialist role,91.491913,0,2.0999999,1.32221,0,21nov2015,26feb2016,0
254,42.083332,Male,Unmarried,GR,Oriental Switzerland,Swiss,Italian,School,3335.4609,cleaning & pers service,,82.197639,0,1.6,.00288,0,02nov2015,30nov2015,0
263,45.083332,Male,Married,NW,Central Switzerland,Swiss,German,Apprenticeship or matura,4535.9136,sales,Specialist role,98.069176,0,1,-.55268002,1,10mar2015,25mar2016,17
263,41.666668,Male,Married,NW,Central Switzerland,Swiss,German,Apprenticeship or matura,5626,sales,Specialist role,85,0,.89999998,1.70771,0,03oct2011,31dec2012,18
277,25,Male,Unmarried,SZ,Central Switzerland,Swiss,German,Apprenticeship or matura,2971.5718,"production (blue collar, incl cars)",Specialist role,100,0,2.2,1.87919,0,01jan2015,28jan2015,13
277,21.666666,Male,Unmarried,SZ,Central Switzerland,Swiss,German,Apprenticeship or matura,2974,"production (blue collar, incl cars)",Specialist role,100,0,2.4000001,-1.18426,0,09sep2011,30sep2011,13
307,35.416668,Male,Married,OW,Central Switzerland,Swiss,German,University,9455,office & admin,Specialist role,100,1,.80000001,.30241999,0,03oct2011,31oct2012,16
311,30.333334,Male,Unmarried,OW,Central Switzerland,Swiss,German,University,822.10052,"production (blue collar, incl cars)",,94.082031,1,.80000001,1.42932,0,15jul2015,13dec2015,12
311,26.083334,Male,Unmarried,OW,Central Switzerland,Swiss,German,University,3320,informatics,Studying or other,100,0,.80000001,.30241999,0,29apr2011,15aug2011,12
312,29.416666,Male,Unmarried,ZG,Central Switzerland,Swiss,German,Specialized,6116,science & arts,Specialist role,100,0,1.9,-.89851999,0,21nov2011,29feb2012,18
312,33.416668,Male,Unmarried,ZG,Central Switzerland,Swiss,German,Specialized,5392.9072,science & arts,Specialist role,100,0,2.0999999,1.32221,0,25nov2015,21apr2016,18
349,33,Male,Unmarried,BE,Mittelland,Swiss,Other,Apprenticeship or matura,5453,"tourism,transport,communication",Specialist role,96.529999,1,2,1.24907,0,01jul2011,31may2012,12
349,36.833332,Male,Married,BE,Mittelland,Swiss,Other,Apprenticeship or matura,6040.5664,"tourism,transport,communication",Specialist role,87.116119,1,3.5,.48105001,0,16may2015,11may2016,11
359,37.75,Male,Married,UR,Central Switzerland,Swiss,French,Apprenticeship or matura,8188.7422,sales,Specialist role,100,0,1,2.3784001,0,19jan2015,06sep2016,13
359,34.583332,Male,Married,UR,Central Switzerland,Swiss,French,Apprenticeship or matura,8138,sales,Specialist role,100,0,1.2,3.71275,0,24nov2011,28jun2013,15
361,62.083332,Male,Unmarried,SO,Mittelland,Swiss,German,School,2580,food & agriculture,,89.779999,0,2.2,1.14508,0,01oct2011,25may2012,18
371,21.583334,Male,Unmarried,TI,Ticino,Swiss,French,Apprenticeship or matura,2756,"production (blue collar, incl cars)",Studying or other,100,0,4.1999998,3.1423099,0,12dec2011,09apr2012,19
371,25.5,Male,Unmarried,TI,Ticino,Swiss,French,Apprenticeship or matura,2558.0923,"production (blue collar, incl cars)",Studying or other,93.704102,0,2.3,1.29001,0,06nov2015,31mar2016,19
389,45.25,Male,Married,UR,Central Switzerland,Swiss,Other,School,3949.7017,construction,Specialist role,77.741165,1,1,2.3784001,1,08nov2015,06aug2016,6
390,22.5,Male,Unmarried,BE,Mittelland,Swiss,French,Apprenticeship or matura,4088,gastronomy,Specialist role,100,0,2,1.24907,0,08mar2011,31may2011,12
390,26.583334,Male,Unmarried,BE,Mittelland,Swiss,French,Apprenticeship or matura,4618.5454,gastronomy,Specialist role,90.463013,0,3.5,.48105001,0,09apr2015,04jul2015,12
392,32.833332,Male,Unmarried,UR,Central Switzerland,Swiss,French,School,6722.8735,office & admin,Specialist role,88.503532,0,1,2.3784001,0,27sep2015,09aug2016,16
392,28.916666,Male,Unmarried,UR,Central Switzerland,Swiss,French,School,5226,office & admin,Specialist role,100,0,1.2,3.71275,0,28oct2011,31may2012,16
400,50.25,Male,Unmarried,AG,North-Western Switzerland,Swiss,German,Apprenticeship or matura,6203,management & hr,Specialist role,100,0,2.5999999,.75863999,0,02may2011,31may2011,13
400,54.416668,Male,Unmarried,AG,North-Western Switzerland,Swiss,German,Apprenticeship or matura,7146.6724,"production (blue collar, incl cars)",Specialist role,100,0,1.8,1.26635,2,14jul2015,10dec2015,13
402,28.666666,Male,Unmarried,NE,Mittelland,Swiss,French,Apprenticeship or matura,7426.9653,sales,,100,0,5,3.2692299,0,04nov2015,24jan2016,0
402,24.416666,Male,Unmarried,NE,Mittelland,Swiss,French,Apprenticeship or matura,6208,"production (blue collar, incl cars)",,100,0,4.6999998,8.0723896,0,01aug2011,13sep2011,0
416,64.833336,Male,Married,GE,Lake Geneva,Swiss,French,Specialized,10500,others (skilled),Managerial role,81.605713,0,5.0999999,-1.26754,9,17jul2015,22jun2016,14
416,60.333332,Male,Married,GE,Lake Geneva,Swiss,French,Specialized,10500,management & hr,Managerial role,100,0,5.5999999,-.25812,0,21jan2011,01jan2012,15
